realtime_start,value,date,realtime_end
2019-12-06,782576,2003-01-01,2019-12-06
2019-12-06,774935,2003-02-01,2019-12-06
2019-12-06,868823,2003-03-01,2019-12-06
2019-12-06,836394,2003-04-01,2019-12-06
2019-12-06,860695,2003-05-01,2019-12-06
2019-12-06,870860,2003-06-01,2019-12-06
2019-12-06,843766,2003-07-01,2019-12-06
2019-12-06,868323,2003-08-01,2019-12-06
2019-12-06,878500,2003-09-01,2019-12-06
2019-12-06,900758,2003-10-01,2019-12-06
2019-12-06,841965,2003-11-01,2019-12-06
2019-12-06,928806,2003-12-01,2019-12-06
2019-12-06,806952,2004-01-01,2019-12-06
2019-12-06,829190,2004-02-01,2019-12-06
2019-12-06,960775,2004-03-01,2019-12-06
2019-12-06,912194,2004-04-01,2019-12-06
2019-12-06,921875,2004-05-01,2019-12-06
2019-12-06,956686,2004-06-01,2019-12-06
2019-12-06,900073,2004-07-01,2019-12-06
2019-12-06,951366,2004-08-01,2019-12-06
2019-12-06,950275,2004-09-01,2019-12-06
2019-12-06,951949,2004-10-01,2019-12-06
2019-12-06,948465,2004-11-01,2019-12-06
2019-12-06,1022229,2004-12-01,2019-12-06
2019-12-06,877196,2005-01-01,2019-12-06
2019-12-06,893159,2005-02-01,2019-12-06
2019-12-06,1031375,2005-03-01,2019-12-06
2019-12-06,984751,2005-04-01,2019-12-06
2019-12-06,1008702,2005-05-01,2019-12-06
2019-12-06,1046772,2005-06-01,2019-12-06
2019-12-06,969379,2005-07-01,2019-12-06
2019-12-06,1060651,2005-08-01,2019-12-06
2019-12-06,1044233,2005-09-01,2019-12-06
2019-12-06,1037682,2005-10-01,2019-12-06
2019-12-06,1024483,2005-11-01,2019-12-06
2019-12-06,1091473,2005-12-01,2019-12-06
2019-12-06,965506,2006-01-01,2019-12-06
2019-12-06,959851,2006-02-01,2019-12-06
2019-12-06,1115019,2006-03-01,2019-12-06
2019-12-06,1031250,2006-04-01,2019-12-06
2019-12-06,1118661,2006-05-01,2019-12-06
2019-12-06,1130766,2006-06-01,2019-12-06
2019-12-06,1038883,2006-07-01,2019-12-06
2019-12-06,1138855,2006-08-01,2019-12-06
2019-12-06,1069221,2006-09-01,2019-12-06
2019-12-06,1080005,2006-10-01,2019-12-06
2019-12-06,1060801,2006-11-01,2019-12-06
2019-12-06,1119564,2006-12-01,2019-12-06
2019-12-06,1004913,2007-01-01,2019-12-06
2019-12-06,992297,2007-02-01,2019-12-06
2019-12-06,1147403,2007-03-01,2019-12-06
2019-12-06,1097282,2007-04-01,2019-12-06
2019-12-06,1180260,2007-05-01,2019-12-06
2019-12-06,1168094,2007-06-01,2019-12-06
2019-12-06,1104920,2007-07-01,2019-12-06
2019-12-06,1189734,2007-08-01,2019-12-06
2019-12-06,1118575,2007-09-01,2019-12-06
2019-12-06,1188692,2007-10-01,2019-12-06
2019-12-06,1162536,2007-11-01,2019-12-06
2019-12-06,1183406,2007-12-01,2019-12-06
2019-12-06,1102069,2008-01-01,2019-12-06
2019-12-06,1101336,2008-02-01,2019-12-06
2019-12-06,1190154,2008-03-01,2019-12-06
2019-12-06,1200214,2008-04-01,2019-12-06
2019-12-06,1248440,2008-05-01,2019-12-06
2019-12-06,1261888,2008-06-01,2019-12-06
2019-12-06,1230917,2008-07-01,2019-12-06
2019-12-06,1217705,2008-08-01,2019-12-06
2019-12-06,1177945,2008-09-01,2019-12-06
2019-12-06,1151293,2008-10-01,2019-12-06
2019-12-06,995875,2008-11-01,2019-12-06
2019-12-06,1050830,2008-12-01,2019-12-06
2019-12-06,904169,2009-01-01,2019-12-06
2019-12-06,888602,2009-02-01,2019-12-06
2019-12-06,981431,2009-03-01,2019-12-06
2019-12-06,958933,2009-04-01,2019-12-06
2019-12-06,973259,2009-05-01,2019-12-06
2019-12-06,1022271,2009-06-01,2019-12-06
2019-12-06,991381,2009-07-01,2019-12-06
2019-12-06,1012041,2009-08-01,2019-12-06
2019-12-06,1009141,2009-09-01,2019-12-06
2019-12-06,1029979,2009-10-01,2019-12-06
2019-12-06,1001333,2009-11-01,2019-12-06
2019-12-06,1093088,2009-12-01,2019-12-06
2019-12-06,951062,2010-01-01,2019-12-06
2019-12-06,949431,2010-02-01,2019-12-06
2019-12-06,1123147,2010-03-01,2019-12-06
2019-12-06,1091719,2010-04-01,2019-12-06
2019-12-06,1088264,2010-05-01,2019-12-06
2019-12-06,1123062,2010-06-01,2019-12-06
2019-12-06,1077804,2010-07-01,2019-12-06
2019-12-06,1118983,2010-08-01,2019-12-06
2019-12-06,1109883,2010-09-01,2019-12-06
2019-12-06,1116388,2010-10-01,2019-12-06
2019-12-06,1117840,2010-11-01,2019-12-06
2019-12-06,1199101,2010-12-01,2019-12-06
2019-12-06,1064238,2011-01-01,2019-12-06
2019-12-06,1058756,2011-02-01,2019-12-06
2019-12-06,1262255,2011-03-01,2019-12-06
2019-12-06,1200658,2011-04-01,2019-12-06
2019-12-06,1228496,2011-05-01,2019-12-06
2019-12-06,1255922,2011-06-01,2019-12-06
2019-12-06,1180494,2011-07-01,2019-12-06
2019-12-06,1270590,2011-08-01,2019-12-06
2019-12-06,1231223,2011-09-01,2019-12-06
2019-12-06,1226096,2011-10-01,2019-12-06
2019-12-06,1217572,2011-11-01,2019-12-06
2019-12-06,1283622,2011-12-01,2019-12-06
2019-12-06,1151724,2012-01-01,2019-12-06
2019-12-06,1188357,2012-02-01,2019-12-06
2019-12-06,1324537,2012-03-01,2019-12-06
2019-12-06,1259670,2012-04-01,2019-12-06
2019-12-06,1322352,2012-05-01,2019-12-06
2019-12-06,1277521,2012-06-01,2019-12-06
2019-12-06,1226635,2012-07-01,2019-12-06
2019-12-06,1316191,2012-08-01,2019-12-06
2019-12-06,1245759,2012-09-01,2019-12-06
2019-12-06,1309499,2012-10-01,2019-12-06
2019-12-06,1277636,2012-11-01,2019-12-06
2019-12-06,1307099,2012-12-01,2019-12-06
2019-12-06,1210648,2013-01-01,2019-12-06
2019-12-06,1187803,2013-02-01,2019-12-06
2019-12-06,1321704,2013-03-01,2019-12-06
2019-12-06,1295984,2013-04-01,2019-12-06
2019-12-06,1361135,2013-05-01,2019-12-06
2019-12-06,1306192,2013-06-01,2019-12-06
