realtime_start,value,date,realtime_end
2019-12-06,803309,2001-09-01,2019-12-06
2019-12-06,815803,2001-10-01,2019-12-06
2019-12-06,808360,2001-11-01,2019-12-06
2019-12-06,805951,2001-12-01,2019-12-06
2019-12-06,805181,2002-01-01,2019-12-06
2019-12-06,808150,2002-02-01,2019-12-06
2019-12-06,808563,2002-03-01,2019-12-06
2019-12-06,822418,2002-04-01,2019-12-06
2019-12-06,822178,2002-05-01,2019-12-06
2019-12-06,825351,2002-06-01,2019-12-06
2019-12-06,825966,2002-07-01,2019-12-06
2019-12-06,835091,2002-08-01,2019-12-06
2019-12-06,831076,2002-09-01,2019-12-06
2019-12-06,830434,2002-10-01,2019-12-06
2019-12-06,836972,2002-11-01,2019-12-06
2019-12-06,830107,2002-12-01,2019-12-06
2019-12-06,841529,2003-01-01,2019-12-06
2019-12-06,841323,2003-02-01,2019-12-06
2019-12-06,850659,2003-03-01,2019-12-06
2019-12-06,835469,2003-04-01,2019-12-06
2019-12-06,837930,2003-05-01,2019-12-06
2019-12-06,848248,2003-06-01,2019-12-06
2019-12-06,856894,2003-07-01,2019-12-06
2019-12-06,859181,2003-08-01,2019-12-06
2019-12-06,865241,2003-09-01,2019-12-06
2019-12-06,868785,2003-10-01,2019-12-06
2019-12-06,874171,2003-11-01,2019-12-06
2019-12-06,876257,2003-12-01,2019-12-06
2019-12-06,878019,2004-01-01,2019-12-06
2019-12-06,887806,2004-02-01,2019-12-06
2019-12-06,911253,2004-03-01,2019-12-06
2019-12-06,906616,2004-04-01,2019-12-06
2019-12-06,916039,2004-05-01,2019-12-06
2019-12-06,915029,2004-06-01,2019-12-06
2019-12-06,918548,2004-07-01,2019-12-06
2019-12-06,928981,2004-08-01,2019-12-06
2019-12-06,935978,2004-09-01,2019-12-06
2019-12-06,949671,2004-10-01,2019-12-06
2019-12-06,956327,2004-11-01,2019-12-06
2019-12-06,967456,2004-12-01,2019-12-06
2019-12-06,973388,2005-01-01,2019-12-06
2019-12-06,978260,2005-02-01,2019-12-06
2019-12-06,978707,2005-03-01,2019-12-06
2019-12-06,993974,2005-04-01,2019-12-06
2019-12-06,987493,2005-05-01,2019-12-06
2019-12-06,999090,2005-06-01,2019-12-06
2019-12-06,1004208,2005-07-01,2019-12-06
2019-12-06,1014544,2005-08-01,2019-12-06
2019-12-06,1027244,2005-09-01,2019-12-06
2019-12-06,1034863,2005-10-01,2019-12-06
2019-12-06,1035239,2005-11-01,2019-12-06
2019-12-06,1046828,2005-12-01,2019-12-06
2019-12-06,1058543,2006-01-01,2019-12-06
2019-12-06,1056372,2006-02-01,2019-12-06
2019-12-06,1060723,2006-03-01,2019-12-06
2019-12-06,1059698,2006-04-01,2019-12-06
2019-12-06,1073652,2006-05-01,2019-12-06
2019-12-06,1076046,2006-06-01,2019-12-06
2019-12-06,1071367,2006-07-01,2019-12-06
2019-12-06,1084110,2006-08-01,2019-12-06
2019-12-06,1067961,2006-09-01,2019-12-06
2019-12-06,1063883,2006-10-01,2019-12-06
2019-12-06,1070361,2006-11-01,2019-12-06
2019-12-06,1096569,2006-12-01,2019-12-06
2019-12-06,1081182,2007-01-01,2019-12-06
2019-12-06,1095219,2007-02-01,2019-12-06
2019-12-06,1108161,2007-03-01,2019-12-06
2019-12-06,1114532,2007-04-01,2019-12-06
2019-12-06,1128250,2007-05-01,2019-12-06
2019-12-06,1126079,2007-06-01,2019-12-06
2019-12-06,1124075,2007-07-01,2019-12-06
2019-12-06,1131729,2007-08-01,2019-12-06
2019-12-06,1138077,2007-09-01,2019-12-06
2019-12-06,1152250,2007-10-01,2019-12-06
2019-12-06,1174246,2007-11-01,2019-12-06
2019-12-06,1164752,2007-12-01,2019-12-06
2019-12-06,1180248,2008-01-01,2019-12-06
2019-12-06,1176215,2008-02-01,2019-12-06
2019-12-06,1175587,2008-03-01,2019-12-06
2019-12-06,1195555,2008-04-01,2019-12-06
2019-12-06,1206473,2008-05-01,2019-12-06
2019-12-06,1222469,2008-06-01,2019-12-06
2019-12-06,1217585,2008-07-01,2019-12-06
2019-12-06,1194759,2008-08-01,2019-12-06
2019-12-06,1164784,2008-09-01,2019-12-06
2019-12-06,1113754,2008-10-01,2019-12-06
2019-12-06,1036898,2008-11-01,2019-12-06
2019-12-06,998121,2008-12-01,2019-12-06
2019-12-06,978896,2009-01-01,2019-12-06
2019-12-06,983571,2009-02-01,2019-12-06
2019-12-06,955909,2009-03-01,2019-12-06
2019-12-06,953602,2009-04-01,2019-12-06
2019-12-06,960938,2009-05-01,2019-12-06
2019-12-06,977772,2009-06-01,2019-12-06
2019-12-06,983590,2009-07-01,2019-12-06
2019-12-06,998370,2009-08-01,2019-12-06
2019-12-06,998801,2009-09-01,2019-12-06
2019-12-06,1010545,2009-10-01,2019-12-06
2019-12-06,1028815,2009-11-01,2019-12-06
2019-12-06,1038654,2009-12-01,2019-12-06
2019-12-06,1046630,2010-01-01,2019-12-06
2019-12-06,1049480,2010-02-01,2019-12-06
2019-12-06,1070456,2010-03-01,2019-12-06
2019-12-06,1082416,2010-04-01,2019-12-06
2019-12-06,1075180,2010-05-01,2019-12-06
2019-12-06,1075659,2010-06-01,2019-12-06
2019-12-06,1085066,2010-07-01,2019-12-06
2019-12-06,1091358,2010-08-01,2019-12-06
2019-12-06,1097887,2010-09-01,2019-12-06
2019-12-06,1117207,2010-10-01,2019-12-06
2019-12-06,1129110,2010-11-01,2019-12-06
2019-12-06,1143730,2010-12-01,2019-12-06
2019-12-06,1169524,2011-01-01,2019-12-06
2019-12-06,1168076,2011-02-01,2019-12-06
2019-12-06,1197344,2011-03-01,2019-12-06
2019-12-06,1203934,2011-04-01,2019-12-06
2019-12-06,1196776,2011-05-01,2019-12-06
2019-12-06,1204737,2011-06-01,2019-12-06
2019-12-06,1212198,2011-07-01,2019-12-06
2019-12-06,1219248,2011-08-01,2019-12-06
