realtime_start,value,date,realtime_end
2019-12-06,1161695,2001-06-01,2019-12-06
2019-12-06,1152536,2001-07-01,2019-12-06
2019-12-06,1150828,2001-08-01,2019-12-06
2019-12-06,1152421,2001-09-01,2019-12-06
2019-12-06,1165237,2001-10-01,2019-12-06
2019-12-06,1157597,2001-11-01,2019-12-06
2019-12-06,1103923,2001-12-01,2019-12-06
2019-12-06,1111640,2002-01-01,2019-12-06
2019-12-06,1112071,2002-02-01,2019-12-06
2019-12-06,1109602,2002-03-01,2019-12-06
2019-12-06,1111506,2002-04-01,2019-12-06
2019-12-06,1108397,2002-05-01,2019-12-06
2019-12-06,1102590,2002-06-01,2019-12-06
2019-12-06,1106888,2002-07-01,2019-12-06
2019-12-06,1107788,2002-08-01,2019-12-06
2019-12-06,1123981,2002-09-01,2019-12-06
2019-12-06,1155466,2002-10-01,2019-12-06
2019-12-06,1163421,2002-11-01,2019-12-06
2019-12-06,1124357,2002-12-01,2019-12-06
2019-12-06,1133336,2003-01-01,2019-12-06
2019-12-06,1148853,2003-02-01,2019-12-06
2019-12-06,1152247,2003-03-01,2019-12-06
2019-12-06,1155995,2003-04-01,2019-12-06
2019-12-06,1143502,2003-05-01,2019-12-06
2019-12-06,1132545,2003-06-01,2019-12-06
2019-12-06,1127423,2003-07-01,2019-12-06
2019-12-06,1119164,2003-08-01,2019-12-06
2019-12-06,1132069,2003-09-01,2019-12-06
2019-12-06,1167310,2003-10-01,2019-12-06
2019-12-06,1176290,2003-11-01,2019-12-06
2019-12-06,1133494,2003-12-01,2019-12-06
2019-12-06,1142349,2004-01-01,2019-12-06
2019-12-06,1159588,2004-02-01,2019-12-06
2019-12-06,1172616,2004-03-01,2019-12-06
2019-12-06,1182818,2004-04-01,2019-12-06
2019-12-06,1181878,2004-05-01,2019-12-06
2019-12-06,1186159,2004-06-01,2019-12-06
2019-12-06,1194192,2004-07-01,2019-12-06
2019-12-06,1201482,2004-08-01,2019-12-06
2019-12-06,1211812,2004-09-01,2019-12-06
2019-12-06,1248972,2004-10-01,2019-12-06
2019-12-06,1269840,2004-11-01,2019-12-06
2019-12-06,1225450,2004-12-01,2019-12-06
2019-12-06,1245168,2005-01-01,2019-12-06
2019-12-06,1261228,2005-02-01,2019-12-06
2019-12-06,1272998,2005-03-01,2019-12-06
2019-12-06,1281111,2005-04-01,2019-12-06
2019-12-06,1273841,2005-05-01,2019-12-06
2019-12-06,1266265,2005-06-01,2019-12-06
2019-12-06,1259652,2005-07-01,2019-12-06
2019-12-06,1262073,2005-08-01,2019-12-06
2019-12-06,1279664,2005-09-01,2019-12-06
2019-12-06,1316722,2005-10-01,2019-12-06
2019-12-06,1332567,2005-11-01,2019-12-06
2019-12-06,1296279,2005-12-01,2019-12-06
2019-12-06,1314928,2006-01-01,2019-12-06
2019-12-06,1326292,2006-02-01,2019-12-06
2019-12-06,1342439,2006-03-01,2019-12-06
2019-12-06,1354566,2006-04-01,2019-12-06
2019-12-06,1361158,2006-05-01,2019-12-06
2019-12-06,1366616,2006-06-01,2019-12-06
2019-12-06,1371049,2006-07-01,2019-12-06
2019-12-06,1378410,2006-08-01,2019-12-06
2019-12-06,1394671,2006-09-01,2019-12-06
2019-12-06,1427827,2006-10-01,2019-12-06
2019-12-06,1440290,2006-11-01,2019-12-06
2019-12-06,1389464,2006-12-01,2019-12-06
2019-12-06,1404113,2007-01-01,2019-12-06
2019-12-06,1417759,2007-02-01,2019-12-06
2019-12-06,1421965,2007-03-01,2019-12-06
2019-12-06,1432810,2007-04-01,2019-12-06
2019-12-06,1434501,2007-05-01,2019-12-06
2019-12-06,1435032,2007-06-01,2019-12-06
2019-12-06,1437124,2007-07-01,2019-12-06
2019-12-06,1439626,2007-08-01,2019-12-06
2019-12-06,1460055,2007-09-01,2019-12-06
2019-12-06,1495048,2007-10-01,2019-12-06
2019-12-06,1510232,2007-11-01,2019-12-06
2019-12-06,1467827,2007-12-01,2019-12-06
2019-12-06,1492553,2008-01-01,2019-12-06
2019-12-06,1507517,2008-02-01,2019-12-06
2019-12-06,1508591,2008-03-01,2019-12-06
2019-12-06,1518333,2008-04-01,2019-12-06
2019-12-06,1511801,2008-05-01,2019-12-06
2019-12-06,1514874,2008-06-01,2019-12-06
2019-12-06,1526891,2008-07-01,2019-12-06
2019-12-06,1525085,2008-08-01,2019-12-06
2019-12-06,1528735,2008-09-01,2019-12-06
2019-12-06,1544633,2008-10-01,2019-12-06
2019-12-06,1530156,2008-11-01,2019-12-06
2019-12-06,1446773,2008-12-01,2019-12-06
2019-12-06,1438849,2009-01-01,2019-12-06
2019-12-06,1424726,2009-02-01,2019-12-06
2019-12-06,1405981,2009-03-01,2019-12-06
2019-12-06,1390060,2009-04-01,2019-12-06
2019-12-06,1365638,2009-05-01,2019-12-06
2019-12-06,1343054,2009-06-01,2019-12-06
2019-12-06,1330886,2009-07-01,2019-12-06
2019-12-06,1311971,2009-08-01,2019-12-06
2019-12-06,1318049,2009-09-01,2019-12-06
2019-12-06,1351395,2009-10-01,2019-12-06
2019-12-06,1363479,2009-11-01,2019-12-06
2019-12-06,1314076,2009-12-01,2019-12-06
2019-12-06,1324306,2010-01-01,2019-12-06
2019-12-06,1338832,2010-02-01,2019-12-06
2019-12-06,1349111,2010-03-01,2019-12-06
2019-12-06,1356386,2010-04-01,2019-12-06
2019-12-06,1352300,2010-05-01,2019-12-06
2019-12-06,1355950,2010-06-01,2019-12-06
2019-12-06,1370238,2010-07-01,2019-12-06
2019-12-06,1380277,2010-08-01,2019-12-06
2019-12-06,1407939,2010-09-01,2019-12-06
2019-12-06,1452451,2010-10-01,2019-12-06
2019-12-06,1465147,2010-11-01,2019-12-06
2019-12-06,1431400,2010-12-01,2019-12-06
2019-12-06,1454571,2011-01-01,2019-12-06
2019-12-06,1470119,2011-02-01,2019-12-06
2019-12-06,1491627,2011-03-01,2019-12-06
2019-12-06,1505885,2011-04-01,2019-12-06
2019-12-06,1514569,2011-05-01,2019-12-06
2019-12-06,1510707,2011-06-01,2019-12-06
2019-12-06,1520677,2011-07-01,2019-12-06
2019-12-06,1527745,2011-08-01,2019-12-06
2019-12-06,1536786,2011-09-01,2019-12-06
2019-12-06,1581133,2011-10-01,2019-12-06
2019-12-06,1588939,2011-11-01,2019-12-06
2019-12-06,1543793,2011-12-01,2019-12-06
2019-12-06,1565153,2012-01-01,2019-12-06
2019-12-06,1585928,2012-02-01,2019-12-06
2019-12-06,1595381,2012-03-01,2019-12-06
2019-12-06,1604096,2012-04-01,2019-12-06
2019-12-06,1601632,2012-05-01,2019-12-06
2019-12-06,1592035,2012-06-01,2019-12-06
2019-12-06,1607433,2012-07-01,2019-12-06
2019-12-06,1614009,2012-08-01,2019-12-06
2019-12-06,1638521,2012-09-01,2019-12-06
2019-12-06,1678805,2012-10-01,2019-12-06
2019-12-06,1684987,2012-11-01,2019-12-06
2019-12-06,1632719,2012-12-01,2019-12-06
2019-12-06,1663421,2013-01-01,2019-12-06
2019-12-06,1671417,2013-02-01,2019-12-06
2019-12-06,1672158,2013-03-01,2019-12-06
2019-12-06,1678252,2013-04-01,2019-12-06
2019-12-06,1665101,2013-05-01,2019-12-06
2019-12-06,1651662,2013-06-01,2019-12-06
2019-12-06,1661522,2013-07-01,2019-12-06
2019-12-06,1668012,2013-08-01,2019-12-06
2019-12-06,1690049,2013-09-01,2019-12-06
2019-12-06,1737429,2013-10-01,2019-12-06
2019-12-06,1746383,2013-11-01,2019-12-06
2019-12-06,1695269,2013-12-01,2019-12-06
2019-12-06,1720394,2014-01-01,2019-12-06
2019-12-06,1736025,2014-02-01,2019-12-06
2019-12-06,1744371,2014-03-01,2019-12-06
2019-12-06,1755173,2014-04-01,2019-12-06
2019-12-06,1751052,2014-05-01,2019-12-06
2019-12-06,1739764,2014-06-01,2019-12-06
2019-12-06,1751494,2014-07-01,2019-12-06
2019-12-06,1753540,2014-08-01,2019-12-06
2019-12-06,1770872,2014-09-01,2019-12-06
2019-12-06,1811800,2014-10-01,2019-12-06
2019-12-06,1816048,2014-11-01,2019-12-06
2019-12-06,1755796,2014-12-01,2019-12-06
2019-12-06,1772642,2015-01-01,2019-12-06
2019-12-06,1783795,2015-02-01,2019-12-06
2019-12-06,1787778,2015-03-01,2019-12-06
2019-12-06,1797943,2015-04-01,2019-12-06
2019-12-06,1788608,2015-05-01,2019-12-06
2019-12-06,1787339,2015-06-01,2019-12-06
2019-12-06,1792441,2015-07-01,2019-12-06
2019-12-06,1791257,2015-08-01,2019-12-06
2019-12-06,1811995,2015-09-01,2019-12-06
2019-12-06,1849341,2015-10-01,2019-12-06
2019-12-06,1845830,2015-11-01,2019-12-06
2019-12-06,1785807,2015-12-01,2019-12-06
2019-12-06,1801049,2016-01-01,2019-12-06
2019-12-06,1801448,2016-02-01,2019-12-06
2019-12-06,1811645,2016-03-01,2019-12-06
2019-12-06,1817628,2016-04-01,2019-12-06
2019-12-06,1809055,2016-05-01,2019-12-06
2019-12-06,1801158,2016-06-01,2019-12-06
2019-12-06,1800856,2016-07-01,2019-12-06
2019-12-06,1802629,2016-08-01,2019-12-06
2019-12-06,1821908,2016-09-01,2019-12-06
2019-12-06,1854301,2016-10-01,2019-12-06
2019-12-06,1869758,2016-11-01,2019-12-06
2019-12-06,1816705,2016-12-01,2019-12-06
2019-12-06,1838215,2017-01-01,2019-12-06
2019-12-06,1847425,2017-02-01,2019-12-06
2019-12-06,1854937,2017-03-01,2019-12-06
2019-12-06,1852641,2017-04-01,2019-12-06
2019-12-06,1846202,2017-05-01,2019-12-06
2019-12-06,1845272,2017-06-01,2019-12-06
2019-12-06,1849860,2017-07-01,2019-12-06
2019-12-06,1861978,2017-08-01,2019-12-06
2019-12-06,1881395,2017-09-01,2019-12-06
2019-12-06,1914200,2017-10-01,2019-12-06
2019-12-06,1926768,2017-11-01,2019-12-06
2019-12-06,1877420,2017-12-01,2019-12-06
2019-12-06,1909538,2018-01-01,2019-12-06
2019-12-06,1926779,2018-02-01,2019-12-06
2019-12-06,1926997,2018-03-01,2019-12-06
2019-12-06,1932736,2018-04-01,2019-12-06
2019-12-06,1926582,2018-05-01,2019-12-06
2019-12-06,1917092,2018-06-01,2019-12-06
2019-12-06,1929578,2018-07-01,2019-12-06
2019-12-06,1940308,2018-08-01,2019-12-06
2019-12-06,1964515,2018-09-01,2019-12-06
2019-12-06,2011029,2018-10-01,2019-12-06
2019-12-06,2013838,2018-11-01,2019-12-06
2019-12-06,1971142,2018-12-01,2019-12-06
2019-12-06,2011130,2019-01-01,2019-12-06
2019-12-06,2026848,2019-02-01,2019-12-06
2019-12-06,2024339,2019-03-01,2019-12-06
2019-12-06,2036290,2019-04-01,2019-12-06
2019-12-06,2029098,2019-05-01,2019-12-06
2019-12-06,2016994,2019-06-01,2019-12-06
2019-12-06,2023696,2019-07-01,2019-12-06
2019-12-06,2021933,2019-08-01,2019-12-06
2019-12-06,2036042,2019-09-01,2019-12-06
